metric,value
raw_findings_total,273
canonical_findings_total,44
deduplication_count,229
reconciliation,44+229=273
raw_semgrep,17
raw_sonarqube_issues,100
raw_sonarqube_hotspots,69
raw_snyk,77
raw_zap,10
severity_critical,31
severity_high,80
severity_medium,89
severity_low,44
severity_informational,29
class_exploitable,4
class_dependency,26
class_configuration,4
class_security_weakness,9
class_code_quality,1
class_informational,0
vp_mapped_findings,13
no_vp_findings,31
semantic_triples,1982
fusion_audit_pass,YES
